Temperature,Pressure,TimeSec,AdditivePct,PreheatMin,CoolRate,LineId,Humidity,QualityResult
161.76,2.354,44.1,2.592,16.8,2.262,L1,42.4,OK
183.01,2.49,52.9,2.453,18.5,2.326,L1,56.9,OK
174.59,2.096,48.4,1.749,18.4,2.834,L2,58.4,OK
185.26,2.223,51.7,1.506,23.7,2.019,L3,60.9,NG
182.31,1.956,38.1,3.08,16.2,2.25,L2,52.8,OK
204.42,2.546,54.0,2.354,19.8,1.506,L2,60.3,NG
178.65,1.788,61.3,1.884,13.1,2.576,L3,31.1,OK
167.67,2.474,35.3,2.533,20.3,1.796,L3,45.1,OK
184.51,2.133,36.1,3.39,18.0,1.876,L2,40.2,OK
185.08,2.61,58.4,1.003,14.3,2.091,L3,,NG
201.03,2.463,43.1,1.552,16.8,1.475,L3,42.9,NG
193.69,2.837,59.0,1.954,17.1,2.192,L3,46.5,NG
187.0,2.456,40.6,3.623,16.6,2.487,L2,64.9,NG
202.49,1.65,59.6,2.798,26.9,2.217,L1,46.5,NG
165.36,2.177,46.3,3.137,17.5,1.464,L1,,OK
173.04,1.79,47.6,1.802,16.8,2.05,L2,45.9,OK
169.03,2.019,60.6,1.816,7.5,2.397,L2,48.7,OK
176.54,2.729,41.4,2.913,13.5,1.349,L1,48.1,OK
162.73,2.423,35.6,2.641,16.7,1.67,L2,52.0,OK
190.89,1.955,40.5,2.984,14.6,2.451,L2,58.5,NG
178.89,1.845,49.5,2.469,24.9,2.208,L3,62.8,OK
161.41,2.211,29.3,2.795,17.2,2.265,L1,50.8,OK
167.78,1.774,51.4,2.711,24.4,2.844,L1,53.3,OK
186.39,1.965,39.6,3.144,18.3,2.287,L3,37.6,NG
193.73,2.309,56.5,3.165,18.2,2.363,L3,47.2,NG
209.95,2.604,21.1,1.466,17.6,3.184,L3,56.5,NG
218.0,2.413,37.1,1.027,18.0,2.014,L3,55.8,NG
187.8,1.398,28.1,3.301,26.6,1.781,L3,49.9,NG
168.15,2.307,36.7,3.431,6.4,2.271,L1,56.0,OK
152.15,2.225,47.5,1.886,8.0,2.276,L1,52.4,OK
185.75,2.345,43.2,1.298,15.3,1.889,L1,58.8,OK
170.62,2.766,42.5,2.669,18.1,1.687,L2,50.6,OK
176.18,1.478,43.4,3.252,21.5,3.024,L3,44.8,OK
173.43,1.993,47.0,3.858,20.4,2.231,L1,51.0,OK
180.03,2.407,34.9,2.961,16.1,1.807,L2,22.0,OK
196.92,1.646,52.1,2.34,23.1,2.466,L1,51.4,NG
184.2,2.717,51.6,1.975,23.2,2.056,L1,22.0,NG
179.78,2.329,48.9,2.608,18.9,1.999,L1,32.5,OK
167.5,2.496,50.6,2.391,22.8,2.325,L1,52.1,OK
158.55,2.0,48.0,1.889,19.4,1.583,L3,52.3,OK
175.19,2.485,65.4,4.034,15.2,2.241,L1,37.5,OK
181.25,2.574,44.1,3.85,21.5,2.865,L3,41.6,NG
206.75,2.282,41.9,3.395,18.6,2.286,L2,60.3,NG
183.82,2.282,37.5,1.955,18.0,1.95,L1,43.6,NG
195.76,2.295,34.7,3.199,25.4,1.897,L1,68.2,NG
175.01,1.898,32.6,3.048,6.0,1.936,L3,48.0,OK
165.41,2.148,36.1,2.91,10.9,1.998,L1,51.7,OK
168.49,2.147,44.3,3.475,12.1,1.949,L3,62.6,OK
171.85,2.334,48.3,3.045,16.2,2.467,L1,49.2,OK
211.8,2.55,45.5,3.118,16.7,1.407,L2,39.0,NG
170.5,1.83,37.3,3.046,10.5,2.445,L3,47.0,OK
193.74,2.156,54.0,2.839,13.1,1.948,L1,47.7,NG
169.36,2.719,52.4,1.351,13.7,2.251,L1,35.7,OK
195.04,1.94,43.4,2.659,30.3,1.649,L3,45.7,NG
187.39,1.912,38.5,2.211,27.0,2.631,L1,41.3,NG
179.81,2.271,50.5,1.704,15.9,2.598,L2,56.3,OK
181.43,2.496,46.9,3.777,16.2,2.484,L2,48.3,NG
172.83,2.204,30.5,3.81,12.3,1.494,L1,45.5,OK
188.25,2.665,44.3,3.551,8.5,2.432,L3,47.0,NG
175.63,2.5,47.6,2.779,17.4,2.262,L3,50.0,OK
164.84,2.495,36.0,3.545,13.0,1.458,L1,53.6,OK
164.11,2.394,46.9,2.608,17.6,2.09,L3,39.0,OK
184.42,3.015,30.5,2.742,10.0,2.246,L1,38.6,NG
204.11,2.128,58.4,1.835,14.2,2.322,L1,57.9,NG
184.24,1.499,57.5,2.878,18.7,2.171,L2,44.3,NG
180.34,2.761,42.5,2.642,19.8,2.216,L3,35.2,OK
186.0,2.04,48.6,1.688,20.1,2.689,L1,52.0,NG
200.28,2.238,20.9,2.564,11.4,2.59,L1,52.2,NG
185.07,2.658,33.4,2.544,22.3,0.953,L2,34.2,NG
176.25,1.639,42.1,3.858,14.0,1.973,L3,50.1,OK
197.49,1.762,34.3,3.226,21.2,2.034,L1,54.6,NG
188.0,1.64,52.1,2.608,17.9,1.399,L1,51.4,NG
203.5,1.922,65.0,2.774,11.1,2.138,L2,53.7,NG
184.57,2.354,33.2,2.631,16.4,2.6,L1,35.4,NG
164.86,2.383,36.6,2.458,19.8,1.665,L1,51.0,OK
162.85,2.297,47.4,1.842,21.1,2.235,L1,45.3,OK
205.11,1.706,61.1,2.494,17.3,1.734,L1,43.7,NG
206.13,1.391,32.8,2.078,25.7,1.831,L2,55.8,NG
179.49,2.219,47.5,1.725,23.0,2.691,L3,61.3,OK
176.64,2.035,63.2,2.958,16.7,1.883,L2,64.1,OK
202.46,2.361,28.5,2.874,21.8,2.285,L2,59.8,NG
166.5,2.446,32.2,1.349,27.7,1.352,L3,47.0,OK
169.47,2.248,40.8,2.514,27.8,2.845,L1,51.2,OK
191.01,2.466,39.8,3.297,11.9,2.341,L1,54.9,NG
176.48,2.28,53.1,3.341,13.4,2.027,L3,49.1,OK
181.93,2.386,47.4,3.318,25.4,2.33,L1,49.2,NG
179.71,1.953,27.3,2.627,12.7,1.536,L2,55.4,OK
